date,team,player,position,injury
11/29/13,WashingtonWizards,Nene Hilario,F/C,Achilles
11/29/13,San AntonioSpurs,Tony Parker,PG,Ankle sprain
11/29/13,DetroitPistons,Will Bynum,PG,Sore hamstring
11/28/13,OrlandoMagic,Jameer Nelson,PG,Foot
11/26/13,WashingtonWizards,Bradley Beal,SG,Right fibula
11/26/13,AtlantaHawks,Shelvin Mack,PG,Left game - left ankle sprain
11/26/13,San AntonioSpurs,Tiago Splitter,C,Right ankle sprain
11/25/13,UtahJazz,Enes Kanter,C,Right ankle sprain
11/25/13,MiamiHeat,Mario Chalmers,PG,Groin
11/24/13,IndianaPacers,Andrew Bynum,C,Sore knee
11/23/13,Golden StateWarriors,Andre Iguodala,G/F,Sore hamstring
11/23/13,San AntonioSpurs,Boris Diaw,F/C,Right rib contusion
11/23/13,ChicagoBulls,Derrick Rose,PG,Right knee surgery - out for season
11/23/13,HoustonRockets,James Harden,G/F,Sore foot
11/23/13,BostonCeltics,Kelly Olynyk,C,Sore ankle
11/23/13,MemphisGrizzlies,Marc Gasol,C,MCL sprain
11/23/13,ClevelandCavaliers,Spencer Hawes,F/C,Sore knee
11/23/13,Philadelphia76ers,Tony Wroten,PG,Back strain
11/22/13,PhoenixSuns,Alex Len,C,Sore ankle
11/22/13,IndianaPacers,C.J. Watson,PG,Upper respiratory infection
11/22/13,BrooklynNets,Deron Williams,PG,Sore ankle
11/22/13,SacramentoKings,Jason Terry,G,Sore knee
11/22/13,AtlantaHawks,Lou Williams,G,Sore knee
11/22/13,Golden StateWarriors,Ognjen Kuzmic,C,Fractured hand
11/21/13,ClevelandCavaliers,C.J. Miles,G/F,Strained calf
11/21/13,Los AngelesLakers,Chris Kaman,F/C,Sore back
11/20/13,DetroitPistons,Charlie Villanueva,PF,Sore back
11/20/13,ChicagoBulls,Jimmy Butler,G/F,Turf toe
11/20/13,BostonCeltics,Keith Bogans,G/F,Flu
11/20/13,UtahJazz,Marvin Williams,F,Fractured nose
11/20/13,Los AngelesClippers,Matt Barnes,SF,Retinal tear in left eye
11/20/13,SacramentoKings,Quincy Acy,PF,Sore ankle
11/20/13,New YorkKnicks,Raymond Felton,G,Lower back
11/20/13,ClevelandCavaliers,Tyler Zeller,F/C,Sore ankle
11/19/13,MiamiHeat,Dwyane Wade,G,Sore knee
11/19/13,PhoenixSuns,Eric Bledsoe,G,Bruised shin
11/19/13,AtlantaHawks,Paul Millsap,F/C,Right elbow
11/19/13,ChicagoBulls,Ronnie Brewer,G/F,Calf strain
11/19/13,Golden StateWarriors,Stephen Curry,G,Concussion
11/18/13,Golden StateWarriors,Jermaine O'Neal,C,Bruised right knee
11/18/13,New YorkKnicks,Metta World Peace,F,Sore left knee
11/17/13,BrooklynNets,Kevin Garnett,F/C,Sprained right ankle
11/17/13,DetroitPistons,Will Bynum,PG,Sore hamstring
11/16/13,CharlotteBobcats,Al Jefferson,F/C,Sprained right ankle
11/16/13,BrooklynNets,Brook Lopez,C,Sore ankle
11/16/13,MemphisGrizzlies,Courtney Lee,G/F,Sore right wrist
11/16/13,BostonCeltics,Keith Bogans,G/F,Flu
11/16/13,OrlandoMagic,Kyle O'Quinn,F/C,Sore ankle
11/16/13,AtlantaHawks,Lou Williams,G,Sore knee
11/16/13,BrooklynNets,Paul Pierce,F,Pulled groin
11/16/13,MinnesotaTimberwolves,Shabazz Muhammad,SF,Sprained right ankle
11/16/13,Oklahoma CityThunder,Thabo Sefolosha,G/F,Flu
11/16/13,SacramentoKings,Travis Outlaw,F,Bruised knee
11/15/13,DetroitPistons,Chauncey Billups,G,Sore knee
11/15/13,ClevelandCavaliers,Dion Waiters,SG,Flu
11/15/13,ChicagoBulls,Greg Smith,F/C,Sore knee
11/15/13,TorontoRaptors,Patrick Patterson,F/C,Bruised left knee
11/15/13,MiamiHeat,Toney Douglas,G,Left tibia
11/14/13,Oklahoma CityThunder,Caron Butler,SF,Left shoulder sprain
11/14/13,BrooklynNets,Deron Williams,PG,Sore ankle
11/14/13,WashingtonWizards,Trevor Ariza,G/F,Right hamstring
11/13/13,WashingtonWizards,Al Harrington,F/C,Sore right knee
11/13/13,MilwaukeeBucks,Brandon Knight,G,Sore right hamstring
11/13/13,UtahJazz,Brandon Rush,SG,Sore knee
11/13/13,CharlotteBobcats,Gary Neal,G,Sore foot
11/13/13,New OrleansPelicans,Greg Stiemsma,C,Sprained knee
11/13/13,HoustonRockets,James Harden,G/F,Sore foot
11/13/13,BostonCeltics,Jared Sullinger,F/C,Sore knee
11/13/13,MinnesotaTimberwolves,Kevin Martin,G/F,Flu
11/13/13,PortlandTrail Blazers,Meyers Leonard,F/C,Flu
11/13/13,Philadelphia76ers,Michael Carter-Williams,PG,Bruised left foot
11/13/13,MemphisGrizzlies,Quincy Pondexter,G/F,Fractured nose
11/13/13,MilwaukeeBucks,Zaza Pachulia,C,Sore foot
11/12/13,ChicagoBulls,Derrick Rose,PG,Sore right hamstring
11/12/13,MilwaukeeBucks,Larry Sanders,F/C,Thumb surgery
11/12/13,MiamiHeat,Ray Allen,SG,Flu
11/12/13,Los AngelesLakers,Steve Nash,PG,Sore back
11/12/13,TorontoRaptors,Steve Novak,F,Sore back
11/12/13,DallasMavericks,Wayne Ellington,SG,Right thigh contusion
11/11/13,BostonCeltics,Jerryd Bayless,G,Right knee sprain
11/10/13,DenverNuggets,JaVale McGee,C,Fractured left leg
